Run	Alignment	DUT	THL

10250	10032		SET9	914
10251	10032		SET9	914
10252	10032		SET9	914
10253	10032		SET9	914
10254	10032		SET9	914
10255	10032		SET9	914
10256	10032		SET9	914
10257	10032		SET9	914
10258	10032		SET9	914
10259	10032		SET9	914

10355	10320		SET10	1100
10356	10320		SET10	1100
10357	10320		SET10	1100
10358	10320		SET10	1100
10359	10320		SET10	1100
10360	10320		SET10	1100
10361	10320		SET10	1100
10362	10320		SET10	1100
10363	10320		SET10	1100
10364	10320		SET10	1100

10505	10494		SET12	1025
10506	10494		SET12	1025
10507	10494		SET12	1025
10508	10494		SET12	1025
10509	10494		SET12	1025
10510	10494		SET12	1025
10511	10494		SET12	1025
10512	10494		SET12	1025
10513	10494		SET12	1025
10514	10494		SET12	1025

10695	10677		SET15	1079
10696	10677		SET15	1079
10697	10677		SET15	1079
10698	10677		SET15	1079
10699	10677		SET15	1079
10700	10677		SET15	1079
10701	10677		SET15	1079
10702	10677		SET15	1079
10703	10677		SET15	1079

10927	10905		SET14	939
10928	10905		SET14	939
10929	10905		SET14	939
10930	10905		SET14	939
10931	10905		SET14	939
10932	10905		SET14	939
10933	10905		SET14	939
10934	10905		SET14	939
10935	10905		SET14	939
10936	10905		SET14	939

11056	11044		SET13	1020
11057	11044		SET13	1020
11058	11044		SET13	1020
11059	11044		SET13	1020
11060	11044		SET13	1020
11061	11044		SET13	1020
11062	11044		SET13	1020
11063	11044		SET13	1020
11064	11044		SET13	1020
11065	11044		SET13	1020

